name,nat_abbr,wmo_ind,chx,chy,lon,lat,height,climate.region,climate.region.nr,first.year.daily.obs,last.year.daily.obs,nr.years.daily.obs.in.standard.per,nr.na.years.daily.obs.in.standard.per,first.year.hourly.obs,last.year.hourly.obs,nr.years.hourly.obs,nr.na.years.hourly.obs,has.hourly.data
St. Urban,STU,NA,2630369.5,1229411.2,7.83954167,47.2149361,488,Central plateau,4,1961,2020,60,0,NA,NA,NA,NA,FALSE
Schaan,SUA,NA,2755510.62,1228259.73,9.49068611,47.1869889,444,Eastern Alpine north slope,6,1970,2020,51,0,2016,2020,4,1,FALSE
Susch,SUS,NA,2802002.88,1181593.04,10.0830111,46.7548833,1416,Engadine,11,1961,2020,60,0,2013,2020,7,1,FALSE
Savognin,SVG,NA,2765387.9,1162662.6,9.59714167,46.5947528,1172,Northern and central Grisons,9,1961,2020,60,0,2013,2020,7,1,FALSE
Schwägalp,SWA,NA,2742180.63,1235649.74,9.31719167,47.2564417,1348,Eastern Alpine north slope,6,1973,2020,48,0,NA,NA,NA,NA,FALSE
Schwarzenburg,SZB,NA,2593150,1184720.03,7.34888333,46.8135972,806,Central plateau,4,1961,2020,59,1,NA,NA,NA,NA,FALSE
Aadorf / Tänikon,TAE,6679,2710518.25,1259824.07,8.90492778,47.4798917,539,North-eastern plateau,3,1971,2020,50,0,1982,2021,40,0,TRUE
Tamins,TAM,NA,2750155.75,1188613.73,9.40693056,46.8317194,667,Northern and central Grisons,9,1969,2020,52,0,NA,NA,NA,NA,FALSE
Wald / Tanne,TAW,NA,2757025.49,1254229.57,9.51975278,47.4201333,1075,Eastern Alpine north slope,6,1977,2020,44,0,NA,NA,NA,NA,FALSE
Tour de Gourze,TDG,NA,2546452.61,1151241.44,6.74094722,46.5103361,915,Western plateau,5,1962,2020,59,0,NA,NA,NA,NA,FALSE
"Teufen, AR",TEU,NA,2747784.63,1250408.59,9.39606944,47.3879167,834,Eastern Alpine north slope,6,1961,2020,60,0,NA,NA,NA,NA,FALSE
Linthal / Tierfehd,TFD,NA,2717770.7,1193169.61,8.98371667,46.8792111,810,Eastern Alpine north slope,6,1970,2020,51,0,NA,NA,NA,NA,FALSE
