name,nat_abbr,wmo_ind,chx,chy,lon,lat,height,climate.region,climate.region.nr,first.year.daily.obs,last.year.daily.obs,nr.years.daily.obs.in.standard.per,nr.na.years.daily.obs.in.standard.per,first.year.hourly.obs,last.year.hourly.obs,nr.years.hourly.obs,nr.na.years.hourly.obs,has.hourly.data
Balsthal,BAT,NA,2621017.48,1241091.31,7.71663333,47.3203556,523,Western Jura,2,1961,2020,60,0,NA,NA,NA,NA,FALSE
Baulmes,BAU,NA,2530055.74,1182443.64,6.52257778,46.7894833,642,Western Jura,2,1961,2020,60,0,NA,NA,NA,NA,FALSE
Barmelweid,BAW,NA,2640058,1252430,7.96949167,47.4214556,777,Central plateau,4,1961,2020,60,0,2019,2020,1,1,FALSE
Passo del Bernina,BEH,6797,2798423.28,1143019.76,10.0195667,46.4091583,2260,Alpine south side,12,1961,2020,55,5,2014,2020,6,1,FALSE
Belp,BEP,NA,2605082.05,1195000.98,7.50533889,46.9060944,510,Central plateau,4,1961,2020,60,0,2018,2020,3,0,FALSE
Bern / Zollikofen,BER,6631,2601934.03,1204409.74,7.46406111,46.9907444,552.84,Central plateau,4,1961,2020,60,0,1982,2021,40,0,TRUE
Bex,BEX,NA,2565805.47,1121511.26,6.99528611,46.2441667,402,Western Alpine North- slope,8,1961,2012,52,0,2013,2020,8,0,FALSE
Bellelay,BEY,NA,2579603.33,1234880.56,7.16913333,47.2645139,923,Western Jura,2,1961,2020,60,0,2016,2020,5,0,FALSE
Beznau,BEZ,6646,2659813.26,1267696.4,8.233325,47.5572556,325.57,North-eastern plateau,3,1989,2020,32,0,1989,2021,33,0,TRUE
Biasca,BIA,NA,2718550.43,1132799.36,8.9784,46.3361167,278,Alpine south side,12,1961,2020,60,0,2014,2020,6,1,FALSE
Bière,BIE,6704,2515887.31,1153211.08,6.34238611,46.5249083,683.636,Western plateau,5,1976,2020,45,0,2010,2020,11,0,FALSE
Binn,BIN,6721,2657995.87,1135421.46,8.19230556,46.3676611,1479,Valais,10,1961,2020,60,0,2014,2020,6,1,FALSE
Bisisthal,BIS,NA,2705983.76,1200132.72,8.83073333,46.9438194,856,Central Alpine north slope,7,1970,2020,51,0,NA,NA,NA,NA,FALSE
Bivio,BIV,6774,2771282.66,1148119.22,9.66863889,46.4624944,1856,Northern and central Grisons,9,1961,2020,60,0,2016,2020,5,0,FALSE
Bischofszell,BIZ,6678,2737713.5,1263612.7,9.26679722,47.5088278,507,North-eastern plateau,3,1961,2020,60,0,2010,2020,10,1,FALSE
Brülisau,BLS,NA,2752884.55,1240106.65,9.460075,47.294125,928,Eastern Alpine north slope,6,1974,2020,47,0,NA,NA,NA,NA,FALSE
Blumenstein,BLU,NA,2606259.91,1177009.89,7.52055278,46.7442472,655,Western Alpine North- slope,8,1973,2020,48,0,NA,NA,NA,NA,FALSE
Bellinzona,BLZ,NA,2720913.43,1116587.13,9.00488056,46.1898861,224,Alpine south side,12,1961,2020,60,0,2016,2020,4,1,FALSE
Beromünster,BMU,NA,2657200.73,1228760.07,8.19364167,47.2073028,642,Central plateau,4,1961,2020,60,0,NA,NA,NA,NA,FALSE
Les Brenets,BNE,NA,2544673.56,1213695.5,6.71021667,47.0719639,908,Western Jura,2,1961,2020,60,0,NA,NA,NA,NA,FALSE
Braunau,BNU,NA,2723115.85,1264786.63,9.07339167,47.5222778,592,North-eastern plateau,3,1979,2020,41,1,NA,NA,NA,NA,FALSE
Bosco/Gurin,BOS,NA,2680878.94,1130026.3,8.48870556,46.3167667,1486,Alpine south side,12,1961,2020,60,0,2014,2020,6,1,FALSE
Boudevilliers,BOV,NA,2558094.8,1208130.48,6.88742778,47.0228917,750,Western Jura,2,1969,2020,50,2,NA,NA,NA,NA,FALSE
Orbe,BOZ,NA,2531750.7,1176425.6,6.54567222,46.7355278,438,Western plateau,5,1961,2020,59,1,NA,NA,NA,NA,FALSE
Braggio,BRA,NA,2729967.59,1128611.18,9.125475,46.2963389,1312,Alpine south side,12,1964,2020,57,0,NA,NA,NA,NA,FALSE
Brig,BRI,NA,2640566.78,1129068.74,7.96526389,46.3117944,665,Valais,10,1962,2012,51,0,2014,2020,7,0,FALSE
La Brévine,BRL,6617,2536981.24,1203974.72,6.61029722,46.9838444,1050,Western Jura,2,1961,2020,60,0,2013,2020,7,1,FALSE
